エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,停止区分,種別,低下量,停止日時,復旧見通し,復旧予定日,停止原因,最終更新日時,change_type,earlier_file,later_file,as_of_datetime,data_load_datetime
北陸,関西電力株式会社,60A06,音沢発電所,水力,単独,124000,計画外停止,停止・その他,,2026/08/27 16:40,あり,2026/08/30,ダム連携排砂(通砂)に伴う制約,2026/08/27 19:46,added,outages_20260827_122827.csv,outages_20260827_233454.csv,27/08/2026 19:46,27/08/2026 23:34
東京,君津共同火力株式会社,6065330508,君津共同火力株式会社君津共同発電所,火力（ガス）,6号機,152900,計画外停止,停止・燃料制約,,2026/08/25 05:30,あり,2026/08/28,燃料制約,2026/08/27 19:21,added,outages_20260827_122827.csv,outages_20260827_233454.csv,27/08/2026 19:21,27/08/2026 23:34
東京,君津共同火力株式会社,6065330508,君津共同火力株式会社君津共同発電所,火力（ガス）,5号機,300000,出力低下,低下・燃料制約,190000,2026/08/25 04:30,あり,2026/08/28,抑制最大量：225000kW 抑制最小量：150000kW,2026/08/27 19:20,added,outages_20260827_122827.csv,outages_20260827_233454.csv,27/08/2026 19:20,27/08/2026 23:34
関西,株式会社コベルコパワー神戸,5115664F60,神戸発電所,火力（石炭）,２号機,700000,出力低下,低下・その他,393500,2026/08/28 22:51,あり,2026/08/31,石炭灰出荷制約 最大低下量　460000kW       　                        最小低下量   327000kW,2026/08/27 18:38,added,outages_20260827_122827.csv,outages_20260827_233454.csv,27/08/2026 18:38,27/08/2026 23:34
東京,川崎天然ガス発電,61203,川崎天然ガス発電所,火力（ガス）,川天1号機,413000,計画停止,停止・定期検査等,,2026/09/15 21:45,あり,2027/01/12,保全補修,2026/08/27 18:25,added,outages_20260827_122827.csv,outages_20260827_233454.csv,27/08/2026 18:25,27/08/2026 23:34
関西,株式会社コベルコパワー神戸第二,64339,神戸発電所,火力（石炭）,3号機,650000,出力低下,低下・その他,363450,2026/08/28 23:17,あり,2026/08/31,石炭灰出荷制約 最大低下量　425200kW 最小低下量　301700kW,2026/08/27 17:59,added,outages_20260827_122827.csv,outages_20260827_233454.csv,27/08/2026 17:59,27/08/2026 23:34
四国,四国電力(株),80701-1,四国電力　西条発電所,火力（石炭）,１号機,500000,計画停止,停止・設備故障,,2026/08/15 05:00,あり,2026/09/09,タービン配管点検,2026/08/27 17:55,added,outages_20260827_122827.csv,outages_20260827_233454.csv,27/08/2026 17:55,27/08/2026 23:34
中国,中国電力株式会社,72410,柳井発電所第２号系列,火力（ガス）,２−１号,198000,計画停止,停止・設備故障,,2026/08/29 08:00,あり,2026/08/29,電動機修理,2026/08/27 17:54,added,outages_20260827_122827.csv,outages_20260827_233454.csv,27/08/2026 17:54,27/08/2026 23:34
東北,電源開発,30201,電源開発下郷発電所,水力,4号機,250000,計画停止,停止・定期検査等,,2026/09/14 08:30,あり,2026/09/16,点検作業／当社管理番号：THC-26-119,2026/08/27 17:52,added,outages_20260827_122827.csv,outages_20260827_233454.csv,27/08/2026 17:52,27/08/2026 23:34
東北,電源開発,30201,電源開発下郷発電所,水力,3号機,250000,計画停止,停止・定期検査等,,2026/09/14 08:30,あり,2026/09/16,点検作業／当社管理番号：THC-26-119,2026/08/27 17:52,added,outages_20260827_122827.csv,outages_20260827_233454.csv,27/08/2026 17:52,27/08/2026 23:34
東北,常磐共同火力株式会社,606622S318,勿来発電所,火力（石炭）,勿来9号機（東北系）,600000,出力低下,低下・その他,208000,2026/08/25 00:00,あり,2026/09/01,設備不具合 最大低下量：600000kW 最小低下量：200000kW,2026/08/27 17:43,added,outages_20260827_122827.csv,outages_20260827_233454.csv,27/08/2026 17:43,27/08/2026 23:34
関西,関西電力株式会社,63D54,高浜発電所,原子力,４号機,870000,計画停止,停止・定期検査等,,2026/11/14 11:00,あり,2027/07/10,定期検査,2026/08/27 17:24,added,outages_20260827_122827.csv,outages_20260827_233454.csv,27/08/2026 17:24,27/08/2026 23:34
関西,株式会社コベルコパワー神戸,5115664F60,神戸発電所,火力（石炭）,１号機,700000,出力低下,低下・その他,393500,2026/08/28 22:50,あり,2026/08/31,石炭灰出荷制約 最大低下量   460000kW       　                        最小低下量   327000kW,2026/08/27 17:07,added,outages_20260827_122827.csv,outages_20260827_233454.csv,27/08/2026 17:07,27/08/2026 23:34
東京,株式会社JERA,34049,川崎火力発電所,火力（ガス）,川崎１−１号,500000,計画停止,停止・設備故障,,2026/08/28 00:00,あり,2026/09/02,ボイラ関連設備,2026/08/27 15:56,added,outages_20260827_122827.csv,outages_20260827_233454.csv,27/08/2026 15:56,27/08/2026 23:34
沖縄,沖縄電力株式会社,05302,石川2号,火力（石油）,2号機,125000,計画外停止,停止・設備故障,,2026/08/26 12:18,あり,2026/08/27,電気設備不具合,2026/08/27 14:13,added,outages_20260827_122827.csv,outages_20260827_233454.csv,27/08/2026 14:13,27/08/2026 23:34
東北,東北電力株式会社,2K219,東北電力新仙台火力発電所３号系列,火力（ガス）,３−１号機,523000,出力低下,低下・その他,351000,2026/09/08 19:20,あり,2026/09/08,最大低下量	478000	kW 最小低下量	  91000	kW 作業停止に伴う解列カーブ,2026/08/27 13:36,added,outages_20260827_122827.csv,outages_20260827_233454.csv,27/08/2026 13:36,27/08/2026 23:34
関西,泉北天然ガス発電株式会社,62F61,泉北天然ガス第一発電所,火力（ガス）,３号機,277500,計画停止,停止・定期検査等,,2026/08/27 08:30,あり,2026/08/27,ST付帯設備,2026/08/27 12:59,added,outages_20260827_122827.csv,outages_20260827_233454.csv,27/08/2026 12:59,27/08/2026 23:34
関西,泉北天然ガス発電株式会社,62F61,泉北天然ガス第一発電所,火力（ガス）,３号機,277500,計画停止,停止・定期検査等,,2026/08/27 08:30,なし,,ST付帯設備,2026/08/27 08:04,removed,outages_20260827_122827.csv,outages_20260827_233454.csv,27/08/2026 12:28,27/08/2026 23:34
東京,君津共同火力株式会社,6065330508,君津共同火力株式会社君津共同発電所,火力（ガス）,5号機,300000,出力低下,低下・燃料制約,190000,2026/08/25 04:30,なし,,抑制最大量：225000kW 抑制最小量：150000kW,2026/08/27 06:38,removed,outages_20260827_122827.csv,outages_20260827_233454.csv,27/08/2026 12:28,27/08/2026 23:34
東京,君津共同火力株式会社,6065330508,君津共同火力株式会社君津共同発電所,火力（ガス）,6号機,152900,計画外停止,停止・燃料制約,,2026/08/25 05:30,なし,,燃料制約,2026/08/27 06:38,removed,outages_20260827_122827.csv,outages_20260827_233454.csv,27/08/2026 12:28,27/08/2026 23:34
沖縄,沖縄電力株式会社,05302,石川2号,火力（石油）,2号機,125000,計画外停止,停止・設備故障,,2026/08/26 12:18,なし,,電気設備不具合,2026/08/26 13:16,removed,outages_20260827_122827.csv,outages_20260827_233454.csv,27/08/2026 12:28,27/08/2026 23:34
東北,常磐共同火力株式会社,606622S318,勿来発電所,火力（石炭）,勿来9号機（東北系）,600000,出力低下,低下・その他,200000,2026/08/25 00:00,あり,2026/09/01,設備不具合 最大低下量：200000kW 最小低下量：200000kW,2026/08/24 20:35,removed,outages_20260827_122827.csv,outages_20260827_233454.csv,27/08/2026 12:28,27/08/2026 23:34
